pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         607076 function calls (593376 primitive calls) in 8.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.011    0.005 shape_base.py:1(<module>)
        2    0.000    0.000    0.011    0.005 _backend.py:1(<module>)
        2    0.000    0.000    0.011    0.005 vboimplementation.py:1(<module>)
      124    0.000    0.000    0.010    0.000 genericpath.py:16(exists)
        2    0.001    0.000    0.010    0.005 GL_2_0.py:1(<module>)
        3    0.009    0.003    0.010    0.003 renderer.py:16(__init__)
        2    0.000    0.000    0.010    0.005 GL_1_2.py:1(<module>)
      100    0.004    0.000    0.010    0.000 shape_base.py:737(array_split)
      646    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.010    0.010 py3k.py:1(<module>)
 2000/500    0.005    0.000    0.010    0.000 lists.py:132(asArray)
     1115    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:376(cached)
        2    0.000    0.000    0.009    0.005 __init__.py:4(<module>)
        2    0.000    0.000    0.009    0.005 images.py:1(<module>)
      100    0.001    0.000    0.009    0.000 GL_1_5.py:91(glBufferSubData)
    63550    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
12708/12699    0.006    0.000    0.009    0.000 {built-in method builtins.hasattr}
      601    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
     1254    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.009    0.009 compressed.py:1(<module>)
       55    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        1    0.000    0.000    0.008    0.008 _datasource.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:23(_load)
        1    0.000    0.000    0.008    0.008 windows_events.py:1(<module>)
      988    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:4(<module>)
    13441    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
     1097    0.003    0.000    0.007    0.000 wrapper.py:258(setPyConverter)
        1    0.000    0.000    0.007    0.007 _base.py:4(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:4(<module>)
      100    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(norm)
       55    0.001    0.000    0.007    0.000 baseplatform.py:386(load)
      500    0.007    0.000    0.007    0.000 {built-in method pygame.image.tostring}
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
        2    0.000    0.000    0.007    0.003 GL_4_5.py:1(<module>)
       55    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.007    0.007 ElementTree.py:1(<module>)
        1    0.000    0.000    0.007    0.007 codata.py:7(<module>)
     1901    0.002    0.000    0.007    0.000 converters.py:133(__call__)
       56    0.000    0.000    0.007    0.000 win32.py:110(constructFunction)
      227    0.001    0.000    0.007    0.000 __init__.py:1486(_fn)
        1    0.000    0.000    0.007    0.007 _internal.py:1(<module>)
        1    0.000    0.000    0.006    0.006 arraydatatype.py:1(<module>)
      854    0.003    0.000    0.006    0.000 functools.py:33(update_wrapper)
      181    0.001    0.000    0.006    0.000 wrapper.py:126(setOutput)
      500    0.001    0.000    0.006    0.000 camera.py:77(ortho)
      373    0.005    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
      100    0.004    0.000    0.006    0.000 linalg.py:2316(norm)
       11    0.000    0.000    0.006    0.001 ntpath.py:625(realpath)
        1    0.000    0.000    0.006    0.006 misc.py:1(<module>)
      122    0.001    0.000    0.006    0.000 baseplatform.py:137(constructFunction)
      124    0.000    0.000    0.006    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.006    0.006 buffers.py:2(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
        1    0.000    0.000    0.006    0.006 header.py:5(<module>)
      182    0.000    0.000    0.006    0.000 __init__.py:2345(_normalize_cached)
       10    0.000    0.000    0.006    0.001 __init__.py:2329(normalize_path)
     1200    0.002    0.000    0.006    0.000 {built-in method glm.value_ptr}
     1305    0.004    0.000    0.006    0.000 baseplatform.py:362(__init__)
       24    0.006    0.000    0.006    0.000 {built-in method nt._getfinalpathname}
      935    0.003    0.000    0.006    0.000 wrapper.py:291(setCConverter)
      101    0.006    0.000    0.006    0.000 model.py:28(invalidate)
       12    0.000    0.000    0.006    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.006    0.006 version.py:4(<module>)
       25    0.000    0.000    0.006    0.000 pyparsing.py:1250(setParseAction)
       27    0.000    0.000    0.006    0.000 pyparsing.py:1039(_trim_arity)
      471    0.001    0.000    0.006    0.000 pyparsing.py:1167(copy)
    36/11    0.000    0.000    0.006    0.001 pyparsing.py:3743(leaveWhitespace)
        2    0.000    0.000    0.005    0.003 imaging.py:1(<module>)
      415    0.002    0.000    0.005    0.000 ntpath.py:77(join)
     4226    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       26    0.000    0.000    0.005    0.000 pyparsing.py:1047(extract_stack)
        1    0.000    0.000    0.005    0.005 _helper.py:1(<module>)
      100    0.002    0.000    0.005    0.000 model.py:37(temperature)
       26    0.000    0.000    0.005    0.000 traceback.py:200(extract_stack)
      100    0.002    0.000    0.005    0.000 model.py:82(_updateLinks)
        2    0.000    0.000    0.005    0.003 GL_1_3.py:1(<module>)
     1728    0.005    0.000    0.005    0.000 __init__.py:506(cast)
       17    0.000    0.000    0.005    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 win32.py:1(<module>)
       14    0.000    0.000    0.005    0.000 __init__.py:2011(_by_version_descending)
       12    0.000    0.000    0.005    0.000 enum.py:434(_convert_)
       26    0.000    0.000    0.005    0.000 traceback.py:321(extract)
      101    0.001    0.000    0.005    0.000 tempfile.py:144(__next__)
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
      471    0.002    0.000    0.005    0.000 copy.py:66(copy)
        2    0.000    0.000    0.005    0.002 separate_shader_objects.py:1(<module>)
        2    0.000    0.000    0.005    0.002 GL_3_3.py:1(<module>)
      467    0.001    0.000    0.005    0.000 deprecation.py:9(wrap)
      134    0.000    0.000    0.005    0.000 ntpath.py:524(abspath)
        4    0.003    0.001    0.005    0.001 codata.py:1500(parse_constants_2002to2014)
        1    0.000    0.000    0.005    0.005 basic.py:7(<module>)
      306    0.000    0.000    0.005    0.000 GL_1_0.py:12(_f)
29679/28651    0.004    0.000    0.005    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
      601    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
   131/65    0.000    0.000    0.005    0.000 pyparsing.py:3363(copy)
        2    0.000    0.000    0.004    0.002 GL_4_0.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _util.py:1(<module>)
